Internalname,Serial,EngGamename,ChiGamename
MARIO BROS.,AGB-FMBJ-JPN,Famicom Mini - Vol 11 - Mario Bros. (J),任天堂FC珍藏游戏系列第11辑-马里奥兄弟 Famicom Mini Vol. 11 – Mario Bros.(JP)(Nintendo)
BOKENJIMA 1,AGB-FTBJ-JPN,Famicom Mini - Vol 17 - Takahashi Meijin no Bouken Jima (J),任天堂FC珍藏游戏系列第17辑-高桥名人的冒险岛 Famicom Mini Vol. 17 – Takahashi Meijin no Bouken Shima(JP)(Nintendo)
GOEMON 1,AGB-FGGJ-JPN,Famicom Mini - Vol 20 - Ganbare Goemon! Karakuri Douchuu (J),任天堂FC珍藏游戏系列第20辑-大盗伍右卫门 Famicom Mini Vol. 20 – Ganbare Goemon! Karakuri Douchuu(JP)(Nintendo)
WRECKINGCREW,AGB-FWCJ-JPN,Famicom Mini - Vol 14 - Wrecking Crew (J),任天堂FC珍藏游戏系列第14辑-拆屋工 Famicom Mini Vol. 14 – Wrecking Crew(JP)(Nintendo)
DR. MARIO,AGB-FDMJ-JPN,Famicom Mini - Vol 15 - Dr. Mario (J),任天堂FC珍藏游戏系列第15辑-马里奥医生 Famicom Mini Vol. 15 – Dr. Mario(JP)(Nintendo)
CLU CLU LAND,AGB-FCLJ-JPN,Famicom Mini - Vol 12 - Clu Clu Land (J),任天堂FC珍藏游戏系列第12辑-滚球乐园 Famicom Mini Vol. 12 – Clu Clu Land(JP)(Nintendo)
RIVERCRANSOM,AGB-BDTE-USA,River City - Ransom EX (U),热血物语EX River City Ransom EX(US)(Atlus)
HARRY POTTER,AGB-BHTE-USA,Harry Potter and the Prisoner of Azkaban (U),哈利波特与阿兹卡班的逃犯 Harry Potter and the Prisoner of Azkaban(UE)(M8)(Electronic Arts)
FUJUHOUROKU,AGB-BTFJ-JPN,Tokyo Majin Gakuen - Fuju Houroku (J),东京魔人学院-符咒封禄 Tokyo Majin Gakuen – Fuju Houroku(JP)(Victor)
DOREXPLOR 01,AGB-MDRE-USA,Dora the Explorer Volume 1 - Gameboy Advance Video (U),GBA电影-小冒险家朵拉第1卷 Game Boy Advance Video – Dora the Explorer – Volume 1(US)(Majesco Sales)
MBEANZPP,AGB-BMBE-USA,Mighty Beanz Pocket Puzzles (U),豆仔口袋方块 Mighty Beanz – Pocket Puzzles(US)(Majesco Sales)
