Internalname,Serial,EngGamename,ChiGamename
PPG MOJOGOGO,AGB-APTE-USA,The Powerpuff Girls - Mojo Jojo A-Go-Go (U),"喷气女孩-魔女啾啾Go-Go Powerpuff Girls, The – Mojo Jojo A-Go-Go(US)(M6)(BAM!)"
MADDEN NFL02,AGB-A2ME-USA,Madden NFL 2002 (U),马顿橄榄球2002 Madden NFL 2002(US)(Electronic Arts)
FROG: TEMPLE,AGB-AFRE-USA,Frogger's Adventures - Temple of the Frog (U),青蛙冒险-蛙之殿堂 Frogger's Adventures – Temple of the Frog(UE)(M5)(Konami)
GET PHAT!,AGB-AGPE-USA,No Rules Get Phat (U),无规则-街头滑板小子 No Rules – Get Phat(UE)(M6)(TDK)
DISNEYSEA,AGB-ADEJ-JPN,Adventure of Tokyo Disney Sea (J),东京迪斯尼大进击-海洋馆篇 Adventure of Tokyo Disney Sea(JP)(Konami)
DAVIDBECKHAM,AGB-ABQP-EUR,David Beckham Soccer (E),大卫·贝克汗姆足球 David Beckham Soccer(EU)(M5)(Denki)
TETRISWORLDS,AGB-ATWX-EUU,Tetris Worlds (E),俄罗斯方块 Tetris Worlds(EU)(M4)(THQ)
RAMPPUZZLEAT,AGB-ARXE-USA,Rampage - Puzzle Attack (U),毁灭金刚方块 Rampage – Puzzle Attack(UE)(Midway)
MGAH,AGB-AM3E-USA,Midway's Greatest Arcade Hits (U),米德威精品电玩4合一 Midway's Greatest Arcade Hits(UE)(Midway)
JP3ISLANDATT,AGB-AJQE-USA,Jurassic Park III - Island Attack (U),侏罗纪公园3高级行动-岛屿的进攻 Jurassic Park III – Island Attack(US)(Konami)
SPUER DODGE,AGB-ADFP-EUR,Super Dodge Ball Advance (E),超级躲避球A Super Dodge Ball Advance(EU)(Ubi Soft)
LEGO RACERS,AGB-ALRE-USA,Lego Racers 2 (U),乐高赛车手2 LEGO Racers 2(US)(M2)(LEGO Media)
ESPN FISHNG1,AGB-AMGE-USA,ESPN Great Outdoor Games - Bass 2002 (U),ESPN非常户外运动巴斯钓鱼2002 ESPN Great Outdoor Games – Bass 2002(US)(Konami)
ECKS VSE SEV,AGB-AESE-USA,Ecks vs. Sever (U),艾克斯VS瑟娃 Ecks vs. Sever(US)(M5)(BAM!)
HOTWHEELS BR,AGB-AHWE-USA,Hot Wheels - Burnin' Rubber (U),无敌风火轮赛车 Hot Wheels – Burnin' Rubber(US)(THQ)
MECH PLATOON,AGB-AKGP-EUR,Mech Platoon (E),机械化部队 Mech Platoon(EU)(M5)(Kemco)
PHALANX,AGB-APXP-EUR,Phalanx - The Enforce Fighter A-144 (E),银河战机 Phalanx – The Enforce Fighter A-144(EU)(M6)(Kemco)
ETTHEEXTRAT,AGB-AETE-USA,E.T. The Extra-Terrestrial (U),外星人之陆地之外 E.T. – The Extra-Terrestrial(US)(NewKidCo)
DAVE MIRRA F,AGB-AX2E-USA,Dave Mirra Freestyle BMX 2 (U),黛夫·米亚自由式自行车越野赛2 Dave Mirra Freestyle BMX 2(US)(Acclaim)
SHAUNPALMER1,AGB-ASCE-USA,Shaun Palmer's Pro Snowboarder (U),夏恩·派蒙的职业滑雪板 Shaun Palmer's Pro Snowboarder(UE)(Activision)
PRTF,AGB-APRD-DEU,Power Rangers - Time Force (G),鸟人战队-时空大作战 Power Rangers – Time Force(DE)(THQ)
SANGOKUSHI,AGB-ASXJ-JPN,San Goku Shi (J),三国志 Sangokushi(JP)(Koei)
PLANETOFAPES,AGB-AYNP-EUR,Planet of the Apes (E),决战猩球 Planet of the Apes(EU)(M6)(Ubi Soft)
ROBOT WARS A,AGB-ARWP-EUR,Robot Wars - Advanced Destruction (E),机器人大战-进化毁灭 Robot Wars – Advanced Destruction(EU)(M5)(BBC Worldwide)
CRUISN VELOC,AGB-ACFE-USA,Cruis'n Velocity (U),劲速狂飙车 Cruis'n Velocity(US)(Midway)
TOMJERRYRING,AGB-ATJE-USA,Tom and Jerry - The Magic Ring (U),汤姆和杰瑞-魔法铃铛 Tom and Jerry – The Magic Ring(US)(M5)(NewKidCo)
MONSRANCHERA,AGB-AMFE-USA,Monster Rancher Advance (U),怪兽农场A Monster Rancher Advance(US)(Tecmo)
IK ADVANCED,AGB-AIKP-EUR,International Karate Advanced (E),国际空手道大赛 International Karate Advanced(EU)(Studio 3)
DAISENRYAKU,AGB-ADSJ-JPN,Daisenryaku (J),大战略 Daisenryaku(JP)(Mediakite)
GRADIUSGALAX,AGB-AGAE-USA,Gradius Galaxies (U),沙罗曼蛇之星系战争 Gradius Galaxies(US)(Konami)
EZ-TALK,AGB-A22J-JPN,EZ-Talk 1 (J),简单说英语1 EZ-Talk – Shokyuu Hen 1(JP)(KeyNet)
EZ-TALK,AGB-A23J-JPN,EZ-Talk 2 (J),简单说英语2 EZ-Talk – Shokyuu Hen 2(JP)(KeyNet)
ARMY MEN OG,AGB-AMEE-USA,Army Men - Operation Green (U),玩具军人-绿色军事行动 Army Men – Operation Green(US)(M5)(3DO)
DRIVEN,AGB-ADVE-USA,Driven (U),生死极速车 Driven(US)(M5)(BAM!)
MH PRO BMX,AGB-AHOX-EUU,Mat Hoffman's Pro BMX (E),马特·霍夫曼-自行车越野赛 Mat Hoffman's Pro BMX(EU)(M2)(Activision)
BUSTAMOVEGBA,AGB-ABME-USA,Super Bust-A-Move (U),超级泡泡龙 Super Bust-A-Move(US)(M3)(Ubi Soft)
,,Action Replay GBX (E),GBA金手指工具 Action Replay GBX(EU)(M4)(Datel)
COLUMNS CROW,AGB-ACGP-EUR,Columns Crown (E),宝石方块 Columns Crown(EU)(Sega)
JACKIECHANDH,AGB-AJCF-FRA,Les Aventures De Jackie Chan (F),"成龙冒险-黑手党传说 Aventures de Jackie Chan, Les – La Legende de la Main Noire(FR)(Activision)"
MAGICAL VACA,AGB-AMVJ-JPN,Magical Vacation (J),魔法假期 Magical Vacation(JP)(Nintendo)
ADVANCE RALL,AGB-AR7J-JPN,Advance Rally (J),高级汽车拉力赛 Advance Rally(JP)(MTO)
GAKKOAGB-1  ,AGB-AYSJ-JPN,Gakkou o Tsukurou!! Advance (J),学校传说 Gakkou wo Tsukurou!! Advance(JP)(Victor)
MONSTERFARMA,AGB-AMFJ-JPN,Monster Farm Advance (J),怪兽农场A Monster Farm Advance(JP)(Tecmo)
THUNDERBIRDS,AGB-ATNP-EUR,Thunderbirds - International Rescue (E),雷鸟-国际救援组织 Thunderbirds – International Rescue(EU)(SCI)
,,Action Replay GBX (E),GBA金手指工具 Action Replay GBX(EU)(Datel)
,,Game Shark (U),鲨鱼金手指 GameShark GBA(US)(InterAct)
,,Xploder Advance (E),GBA金手指密码工具 Xploder Advance(EU)(Blaze)
SHAUNPALMER1,AGB-ASCD-DEU,Shaun Palmer's Pro Snowboarder (G),夏恩·派蒙的职业滑雪板 Shaun Palmer's Pro Snowboarder(DE)(Activision)
W.A.SOCCER_W,AGB-AASJ-JPN,World Advance Soccer - Road to Win (J),世界足球-迈向胜利之路 World Advance Soccer – Shouri heno Michi(JP)(Hands On)
NAMCOMUSEUM,AGB-ANMJ-JPN,Namco Museum (J),南梦宫精品游戏合集 Namco Museum(JP)(Namco)
PLANET MNSTR,AGB-APME-USA,Planet Monsters (U),星球怪物 Planet Monsters(US)(M6)(Titus)
SUPER MARIOB,AGB-AA2J-JPN,Super Mario World - Super Mario Advance 2 (J),超级马里奥A 2 Super Mario Advance 2(JP)(Nintendo)
ROCKMAN_EXE2,AGB-AE2J-JPN,Battle Network RockMan EXE 2 (J),洛克人网络大战EXE 2 Battle Network Rockman EXE 2(JP)(Capcom)
,,Action Replay GBX (E),GBA金手指工具 Action Replay GBX(FR)(M4)(Datel)
BOF1,AGB-ABFE-USA,Breath of Fire (U),龙战士 Breath of Fire(US)(Capcom)
COLUMNSCROWN,AGB-ACGJ-JPN,Columns Crown (J),宝石方块 Columns Crown(JP)(Sega)
MK_ADVANCE,AGB-AM5E-USA,Mortal Kombat Advance (U),真人快打A Mortal Kombat Advance(US)(Midway)
W.S.POCKET  ,AGB-AJWJ-JPN,Jikkyou World Soccer Pocket (J),实况世界足球口袋版 Jikkyou World Soccer Pocket(JP)(Konami)
MEGAMANEXEBN,AGB-AREP-EUR,MegaMan Battle Network (E),洛克人-网络战斗EXE1 Megaman Battle Network(EU)(Capcom)
AMERICA_BASS,AGB-AABE-USA,American Bass Challenge (U),美国巴斯钓鱼挑战赛 American Bass Challenge(US)(Ubi Soft)
,,Code Breaker (U),GBA金手指密码工具 CodeBreaker(US)(Pelican)(0.5Mb)
SONICADVANCE,AGB-ASOJ-JPN,Sonic Advance (J),索尼克A Sonic Advance(JP)(M2)(Sega)
KINBANGBA2  ,AGB-AK5J-JPN,Kinniku Banduke - Muscle Ranking 2 (J),筋番付肉 Kinniku Banzuke – Kimero! Kiseki no Kanzen Seiha(JP)(Konami)
BAYBLADE_1,AGB-AHEJ-JPN,Bakuten Shoot Beyblade - Gekitou! Saikyou Blade (J),爆转陀螺王-激斗赛 Bakuten Shoot Beyblade – Gekitou! Saikyou Blader(JP)(Hudson)
FSTONES BTIB,AGB-AFSE-USA,The Flintstones - Big Trouble in Bedrock (U),"石头乐园-岩床上的大麻烦 Flintstones, The – Big Trouble in Bedrock(US)(Conspiracy)"
TEKKEN,AGB-ATKJ-JPN,Tekken Advance (J),铁拳A Tekken Advance(JP)(Namco)
BOF2,AGB-AB2J-JPN,Breath of Fire 2 - Shimei no Ko (J),龙战士2-使命之子 Breath of Fire II – Shimei no Ko(JP)(Capcom)
TORUNEKO2,AGB-AT2J-JPN,Dragon Quest - Torneko's Adventure 2 Advance (J),特鲁尼克大冒险2-不可思议的迷宫 Dragon Quest Characters – Torneco no Daibouken 2 Advance – Fushigi no Dungeon(JP)(Enix)
ZOIDSSAGA,AGB-ATZJ-JPN,Zoids Saga (J),机兽新世纪 Zoids Saga(JP)(Tomy)
RECCATHEGAME,AGB-ARHJ-JPN,Flame of Recca (J),烈火之炎 Recca no Honoo – The Game(JP)(Konami)
ESPN XG SNOW,AGB-AWXJ-JPN,ESPN Winter X-Games - Snowboarding 2002 (J),ESPN冬季运动会-滑雪板2002 ESPN Winter X-Games Snowboarding 2002(JP)(Konami)
KCEJDM6EX2,AGB-AY6J-JPN,Yu-Gi-Oh! Duel Monsters 6 Expert 2 (J),游戏王6 Yu-Gi-Oh! Duel Monsters 6 Expert 2(JP)(Konami)
ADVANCEWARSP,AGB-AWRP-EUR,Advance Wars (E),高级战争 Advance Wars(EU)(M4)(Nintendo)
KAOTHEKANGAR,AGB-AKKP-EUR,Kao the Kangaroo (E),小小袋鼠闯天关 Kao the Kangaroo(EU)(M6)(Titus)
KINGOFEXNEOB,AGB-AKOJ-JPN,The King Of Fighters EX - NeoBlood (J),"拳皇EX King of Fighters EX, The – NeoBlood(JP)(MMV)"
ANGELICLAYER,AGB-AALJ-JPN,Angelic Layer (J),机动天使领域 Kidou Tenshi Angelic Layer – Misaki to Yume no Tenshi-tachi(JP)(Epoch)
SANSARA 1X2,AGB-ASNJ-JPN,Sansara Saga 1x2 (J),育龙战记1×2 Sansara Naga 1×2(JP)(Victor)
EZ-TALK,AGB-A24J-JPN,EZ-Talk 3 (J),简单说英语3 EZ-Talk – Shokyuu Hen 3(JP)(KeyNet)
EZ-TALK,AGB-A25J-JPN,EZ-Talk 4 (J),简单说英语4 EZ-Talk – Shokyuu Hen 4(JP)(KeyNet)
,,Game Shark (U),游戏鲨鱼金手指 GameShark GBA(US)(InterAct)
,,Xploder Advance (E),GBA金手指密码工具 Xploder Advance(EU)(Blaze)
MECH PLATOON,AGB-AKGE-USA,Mech Platoon (U),机械化部队 Mech Platoon(US)(Kemco)
DARK ARENA,AGB-ADAE-USA,Dark Arena (U),暗黑竞技场 Dark Arena(UE)(Majesco Sales)
CREATURESAGB,AGB-ACTX-EUU,Creatures (E),造物计划 Creatures(EU)(M3)(Conspiracy)
PACMANCOLLE,AGB-APCJ-JPN,Pac-Man Collection (J),小精灵全集 Pac-Man Collection(JP)(Namco)
FSTONES BTIB,AGB-AFSP-EUR,The Flintstones - Big Trouble in Bedrock (E),"石头乐园-岩床上的大麻烦 Flintstones, The – Big Trouble in Bedrock(EU)(M5)(Conspiracy)"
SNAPKIDS,AGB-AEAJ-JPN,Snap Kids (J),摄影小子 Snap Kid's(JP)(Enix)
ASTERIX & OB,AGB-AOBP-EUR,Asterix & Obelix - PAF! Them All! (E),美丽新世界 Asterix & Obelix – Bash Them All!(EU)(M6)(Infogrames)
ESPN XG SNOW,AGB-AWXE-USA,ESPN Winter X-Games - Snowboarding 2002 (U),ESPN冬季运动会-滑雪板2002 ESPN Winter X-Games Snowboarding 2002(US)(Konami)
GGXAE,AGB-AGXJ-JPN,Guilty Gear X - Advance Edition (J),罪恶克星X Guilty Gear X – Advance Edition(JP)(Sammy)
GRADIUSGENER,AGB-AGAJ-JPN,Gradius Generation (J),沙罗曼蛇 Gradius Generation(JP)(Konami)
TOMATO_ADV,AGB-AGLJ-JPN,Tomato Adventure (J),西红柿冒险 Tomato Adventure(JP)(Nintendo)
HYPER_SPORTS,AGB-AWIJ-JPN,Hyper Sports - 2002 Winter (J),超级运动家2002冬季版 Hyper Sports 2002 Winter(JP)(Konami)
TEKKEN,AGB-ATKE-USA,Tekken Advance (U),铁拳A Tekken Advance(US)(Namco)
WINTERSPORTS,AGB-AWIE-USA,ESPN International - Winter Sports 2002 (U),ESPN国际冬季运动会2002 ESPN International Winter Sports 2002(US)(Konami)
SALT LAKE 20,AGB-AS5E-USA,Salt Lake 2002 (U),盐湖城2002 Salt Lake 2002(US)(M6)(Ubi Soft)
PACMANCOLLE,AGB-APCP-EUR,Pac-Man Collection (E),小精灵全集 Pac-Man Collection(EU)(Infogrames)
WIZ SUMMONER,AGB-AWZJ-JPN,Wizardry Summoner (J),辟邪除妖-召唤者 Wizardry Summoner(JP)(Media Rings)
SHANGHAI ADV,AGB-ASVJ-JPN,Shanghai Advance (J),上海 Shanghai Advance(JP)(Sunsoft)
SONICADVANCE,AGB-ASOE-USA,Sonic Advance (U),索尼克A Sonic Advance(US)(M2)(THQ)
GURANBO,AGB-AIBJ-JPN,Granbo (J),格兰宝 Guranbo(JP)(Capcom)
JONNYMOSELEY,AGB-AJME-USA,Jonny Moseley Mad Trix (U),强尼·摩斯立之疯狂滑雪 Jonny Moseley Mad Trix(US)(M5)(3DO)
PUYO POP,AGB-APYE-USA,Puyo Pop (U),魔法气泡大会战 Puyo Pop(US)(M2)(THQ)
OKUMAN 01,AGB-AOKJ-JPN,Okuman Chouja Game (J),亿万长者游戏 Okumanchouja Game – Nottori Daisakusen!(JP)(Takara)
PINKEY TOWN,AGB-APNJ-JPN,Pinky Monkey Town (J),粉红猴庄 Pinky Monkey Town(JP)(Starfish)
HARRY POTTER,AGB-AHRJ-JPN,Harry Potter to Kenja no Ishi (J),哈利波特-神秘的魔法石 Harry Potter to Kenja no Ishi(JP)(Electronic Arts)
SUPER MARIOB,AGB-AA2E-USA,Super Mario World - Super Mario Advance 2 (U),超级马里奥世界2 Super Mario Advance 2 – Super Mario World(US)(Nintendo)
JP3DINOATTAC,AGB-AJQP-EUR,Jurassic Park III - Dino Attack (E),侏罗纪公园3-岛屿的进攻 Jurassic Park III – Dino Attack(EU)(M5)(Konami)
ADVANCEWARS,AGB-AWRE-USA,Advance Wars (U),高级战争 Advance Wars(US)(Nintendo)
COLUMNSCROWN,AGB-ACGE-USA,Columns Crown (U),宝石方块 Columns Crown(US)(Sega)
WTATOUR,AGB-ACIJ-JPN,WTA Tour Tennis Pocket (J),超真实女子网球赛-口袋版 WTA Tour Tennis Pocket(JP)(Konami)
DAVE MIRRA F,AGB-AX2P-EUR,Dave Mirra Freestyle BMX 2 (E),黛夫·米拉特技自行车2 Dave Mirra Freestyle BMX 2(EU)(M5)(Acclaim)
PETERPAN RTN,AGB-APPE-USA,Peter Pan - Return to Neverland (U),小飞侠-回到梦不落帝国 Peter Pan – Return to Neverland(US)(Ubi Soft)
GOLDEN_SUN_A,AGB-AGSF-FRA,Golden Sun (F),黄金的太阳-开启的封印 Golden Sun(FR)(Nintendo)
ESPN FISHNG2,AGB-AMGP-EUR,ESPN Great Outdoor Games - Bass Tournament (E),ESPN户外运动-巴斯钓鱼2002 ESPN Great Outdoor Games – Bass Tournament(EU)(Konami)
EZ-TALK,AGB-A26J-JPN,EZ-Talk 5 (J),简单说英语5 EZ-Talk – Shokyuu Hen 5(JP)(KeyNet)
EZ-TALK,AGB-A27J-JPN,EZ-Talk 6 (J),简单说英语6 EZ-Talk – Shokyuu Hen 6(JP)(KeyNet)
NBA JAM 2002,AGB-ABNE-USA,NBA Jam 2002 (U),劲爆NBA2002 NBA Jam 2002(UE)(Acclaim)
TSUBASA 2001,AGB-AKYJ-JPN,Captain Tsubasa - Eikou no Kiseki (J),天使之翼-荣光的轨迹 Captain Tsubasa – Eikou no Kiseki(JP)(Konami)
POCKET MUSIC,AGB-AP9P-EUR,Pocket Music (E),口袋音乐 Pocket Music(EU)(M5)(Denki)
VIRTKASPAROV,AGB-AVKP-EUR,Virtual Kasparov (E),虚拟西洋棋手 Virtual Kasparov(EU)(M5)(Titus)
BURNIN RUBBE,AGB-AHWP-EUR,Hot Wheels - Burnin' Rubber (E),无敌风火轮赛车 Hot Wheels – Burnin' Rubber(EU)(M2)(THQ)
TOMJERRYRINT,AGB-ATJP-EUR,Tom and Jerry - The Magic Ring (E),汤姆和杰瑞-魔法铃铛 Tom and Jerry – The Magic Ring(EU)(M5)(Ubi Soft)
PLANET MNSTR,AGB-APMP-EUR,Planet Monsters (E),星球怪物 Planet Monsters(EU)(M6)(Titus)
JIMMY NEUTRO,AGB-AJNX-EUU,Jimmy Neutron - Boy Genius (E),天才男孩-吉米 Jimmy Neutron – Boy Genius(EU)(M4)(THQ)
CHUCHU ROCKE,AGB-ACRP-EUR,Chu Chu Rocket! (E),咕噜咕噜火箭! Chu Chu Rocket!(EU)(M5)(Infogrames)
MOTOGP,AGB-AM4P-EUR,Moto GP (E),GP摩托车赛 Moto GP(EU)(M6)(THQ)
B-MAX2BOM,AGB-AMHJ-JPN,Bomberman Max 2 - Bomberman Version (J),炸弹人马克思2-炸弹人版 Bomberman Max 2 – Bomberman Version(JP)(Hudson)
CRASH,AGB-ACQP-EUR,Crash Bandicoot XS (E),古惑狼-无尽的冒险 Crash Bandicoot XS(EU)(M6)(Vivendi)
GOEMONNEW,AGB-AGNJ-JPN,Goemon New Age Shutsudou! (J),大盗伍佑卫门新时代出动! Goemon – New Age Shutsudou!(JP)(Konami)
JPOCKET2,AGB-AJ2J-JPN,J-League Pocket 2 (J),J联盟足球口袋版2 J.League Pocket 2(JP)(Konami)
LANDBEFORETI,AGB-ALAP-EUR,The Land Before Time (E),"史前之岛 Land Before Time, The(EU)(M5)(Conspiracy)"
TYSON BOXING,AGB-AM9P-EUR,Mike Tyson Boxing (E),麦克·泰森拳击 Mike Tyson Boxing(EU)(M5)(Ubi Soft)
INSPECTOR GA,AGB-AIGE-USA,Inspector Gadget - Advance Mission (U),神探佳杰特-高级任务 Inspector Gadget – Advance Mission(US)(Dreamcatcher)
PHALANX,AGB-APXE-USA,Phalanx - The Enforce Fighter A-144 (U),银河战机 Phalanx – The Enforce Fighter A-144(US)(Kemco)
Z.O.E USA,AGB-AZEE-USA,Zone of the Enders - The Fist of Mars (U),星域毁灭者2173-火星的碰撞 Zone of the Enders – The Fist of Mars(US)(Konami)
AMERICANTAIL,AGB-AFGP-EUR,An American Tail - Fievel's Gold Rush (E),"美国鼠潭 American Tail, An – Fievel's Gold Rush(EU)(M5)(Conspiracy)"
BLACK BLACK,AGB-AWEJ-JPN,Black Black (J),魔笛师传说 Black Black – Bura Bura(JP)(Capcom)
SSF2TREVIVAL,AGB-AXRE-USA,Super Street Fighter II Turbo Revival (U),超级街霸II-复苏 Super Street Fighter II Turbo – Revival(US)(Capcom)
GOASTHOUSE24,AGB-AUYJ-JPN,Yuure Yashiki no Nijuuyon Jikan (J),幽灵屋缚之24小时 Yuureiyashiki no Nijuuyojikan(JP)(Global A)
DOMOKUN,AGB-ADOJ-JPN,Domo-Kun no Fushigi Terebi (J),多摩君之不可思议的冒险 Domo-kun no Fushigi Terebi(JP)(Nintendo)
Mail de Cute,AGB-AMCJ-JPN,Mail de Cute (J),可爱的邮递员 Mail de Cute(JP)(Konami)
B-MAX2MAX,AGB-AMYJ-JPN,Bomberman Max 2 - Max Version (J),炸弹人马克思2-马克思版 Bomberman Max 2 – Max Version(JP)(Hudson)
PLANETOFAPES,AGB-AYNE-USA,Planet of the Apes (U),决战猩球 Planet of the Apes(US)(M6)(Ubi Soft)
TONY HAWK 3!,AGB-AT3E-USA,Tony Hawk's Pro Skater 3 (U),托尼·霍克职业滑板3 Tony Hawk's Pro Skater 3(UE)(Activision)
HH MLB 2003,AGB-AHHE-USA,High Heat - Major League Baseball 2003 (U),火热职业棒球联赛2003 High Heat Major League Baseball 2003(US)(3DO)
NHL 2002    ,AGB-ANLE-USA,NHL 2002 (U),美国冰上曲棍球2002 NHL 2002(US)(Electronic Arts)
CASPER,AGB-ACSP-EUR,Casper (E),小精灵 Casper(EU)(M7)(Microids)
SONIC ADVANC,AGB-ASOP-EUR,Sonic Advance (E),索尼克A Sonic Advance(EU)(M5)(Sega)
MIBTHESERIES,AGB-AMIE-USA,Men in Black - The Series (U),黑超特警组-续作 Men in Black – The Series(US)(Crave Entertainment)
STARWARSJEDI,AGB-ASWX-EUU,Star Wars - Jedi Power Battles (E),星际大战首部曲-绝地武士 Star Wars – Jedi Power Battles(EU)(M4)(THQ)
TGGT-CHAMP,AGB-ATCE-USA,Top Gear GT Championship (U),全日本顶级GT锦标赛车 Top Gear GT Championship(US)(Kemco)
DISNEY'S DON,AGB-AADJ-JPN,Donald Duck Advance (J),唐老鸭冒险 Donald Duck Advance(JP)(Ubi Soft)
CHINMOKU-EST,AGB-AGDJ-JPN,Estopolis Densetsu (J),四狂神战记外传-沉默的遗迹 Chinmoku no Iseki – Estpolis Gaiden(JP)(Taito)
CRASH,AGB-ACQE-USA,Crash Bandicoot - The Huge Adventure (U),古惑狼-无尽的冒险 Crash Bandicoot – The Huge Adventure(US)(Vivendi)
TYSON BOXING,AGB-AM6E-USA,Mike Tyson Boxing (U),麦克·泰森拳击 Mike Tyson Boxing(US)(M5)(Ubi Soft)
MOTOGP,AGB-AM4E-USA,Moto GP (U),GP摩托车赛 Moto GP(US)(M6)(THQ)
RAINBOWSIX-R,AGB-AR6E-USA,Tom Clancy's Rainbow Six - Rogue Spear (U),彩虹6号 Tom Clancy's Rainbow Six – Rogue Spear(US)(M5)(Ubi Soft)
SPACE INVADE,AGB-AIDE-USA,Space Invaders (U),太空侵略者 Space Invaders(US)(Activision)
SRWA,AGB-ASRJ-JPN,Super Robot Taisen A (C),超级机器人大战A Super Robot Taisen A(CN)(Unlicensed)
DRIVEN AGB,AGB-ADVP-EUR,Driven (E),生死时速车 Driven(EU)(M5)(BAM!)
MARY KATE AN,AGB-AKSE-USA,Mary-Kate and Ashley - Girls Night Out (U),玛莉·凯特和艾希莉-外出的夜晚 Mary-Kate and Ashley – Girls Night Out(US)(Acclaim)
GULROZCHANGP,AGB-AGCJ-JPN,Guru Logic Champ (J),充填方块 Guru Logic Champ(JP)(Compile)
DISNEY'S DON,AGB-ADKE-USA,Donald Duck Advance (U),唐老鸭冒险 Donald Duck Advance(US)(Ubi Soft)
ANGELIQUE,AGB-AAGJ-JPN,Angelique (J),安琪莉可之女王学院 Angelique(JP)(Koei)
PAWAPOKE4,AGB-AP4J-JPN,Power Pro Kun Pocket 4 (J),实况Q版口袋棒球4 Power Pro Kun Pocket 4(JP)(Konami)
BASEBALL ADV,AGB-ABPE-USA,Baseball Advance (U),棒球A Baseball Advance(US)(THQ)
RAINBOWSIX-R,AGB-AR6P-EUR,Tom Clancy's Rainbow Six - Rogue Spear (E),彩虹6号 Tom Clancy's Rainbow Six – Rogue Spear(EU)(M5)(Ubi Soft)
KCS ARCADE,AGB-AKCE-USA,Konami Collector's Series - Arcade Advanced (U),科拿米精品游戏合集6合一 Konami Collector's Series – Arcade Advanced(US)(Konami)
MM ADVANCE,AGB-AMRE-USA,Motocross Maniacs Advance (U),疯狂越野摩托车 Motocross Maniacs Advance(US)(M2)(Konami)
DRACULA AGB1,AGB-AAMJ-JPN,Akumajou Dracula - Circle of the Moon (C),恶魔城-月之轮回 Akumajou Dracula – Circle of the Moon(CN)(Unlicensed)
BROKENSWORD,AGB-ABJP-EUR,Broken Sword - The Shadow of the Templars (E),断剑-圣堂武士之迷 Broken Sword – The Shadow of the Templars(EU)(M5)(BAM!)
RAVE,AGB-ARVJ-JPN,Groove Adventure Rave (J),圣石小子光与暗的大决战 Groove Adventure Rave – Hikari to Yami no Daikessen(JP)(Konami)
ICEAGE,AGB-AIAE-USA,Ice Age (U),冰河世纪 Ice Age(US)(M3)(Ubi Soft)
SHREK KART,AGB-AS4E-USA,Shrek - Swamp Kart Speedway (U),怪物史瑞克沼泽赛车 Shrek – Swamp Kart Speedway(UE)(M6)(TDK)
CHESSMASTER,AGB-ACYP-EUR,Chessmaster (E),西洋棋大师 Chessmaster(EU)(Ubi Soft)
GOLDEN_SUN_A,AGB-AGSD-DEU,Golden Sun (G),黄金的太阳-开启的封印 Golden Sun(DE)(Nintendo)
K-1,AGB-AKVJ-JPN,K-1 Pocket Grand Prix (J),K-1口袋格斗大奖赛 K-1 Pocket Grand Prix(JP)(Konami)
PuzzleBA,AGB-ABMJ-JPN,Super Puzzle Bobble Advance (J),超级泡泡龙A Super Puzzle Bobble Advance(JP)(Taito)
PachiPro,AGB-ASFJ-JPN,Slot-Pro Advance - Takarafune & Oedoshima Fubuki 2 (J),专业柏青嫂游戏-宝船 & 大江户樱吹雪2 Slot! Pro Advance – Takarabune & Ooedo Sakurafubuki 2(JP)(Telenet)
NishiharaDMJ,AGB-ASMJ-JPN,Nishihara Rieko no Tendou Maajan (J),西原理惠子之殿堂麻雀 Saibara Rieko no Dendou Mahjong(JP)(Media Rings)
KykikaGontie,AGB-AKGJ-JPN,Kikaika Gunta - Mech Platoon (J),机械化军队 Kikaika Guntai – Mech Platoon(JP)(Kemco)
DiaDroid,AGB-ADDJ-JPN,Diadroids World (J),危险的世界 Diadroids World – Evil Teikoku no Yabou(JP)(Epoch)
JUO,AGB-AJUJ-JPN,Jitsutou Pachislo Hisshouhou - Juuoh Advance (J),实战柏青嫂必胜法-兽王A Jissen Pachi-Slot Hisshouhou! – Juuou Advance(JP)(Sammy)
DMJ,AGB-AHMJ-JPN,Daimaajan (J),大麻雀 Dai-Mahjong(JP)(Hori Electric)
BROKENSWORD,AGB-ABJE-USA,Broken Sword - The Shadow of the Templars (U),断剑-圣堂武士之迷 Broken Sword – The Shadow of the Templars(US)(M5)(BAM!)
MAYA THE BEE,AGB-ABVP-EUR,Maya the Bee - The Great Adventure (E),玛雅蜜蜂-伟大的冒险 Maya the Bee – The Great Adventure(EU)(M5)(Acclaim)
FIREEMBLEM6,AGB-AFEJ-JPN,Fire Emblem - Sealed Sword (J),火炎之纹章-封印之剑 Fire Emblem – Fuuin no Tsurugi(JP)(Nintendo)
SHINING SOUL,AGB-AHUJ-JPN,Shining Soul (J),光明之魂1 Shining Soul(JP)(Sega)
ATARI_ANNIVE,AGB-AAVE-USA,Atari Anniversary Advance (U),雅达利周年纪念游戏 Atari Anniversary Advance(US)(Infogrames)
DANCE BEAT,AGB-ABYE-USA,Britney's Dance Beat (U),小甜甜布兰妮之舞蹈节拍 Britney's Dance Beat(US)(THQ)
SCRABBLE,AGB-AQBP-EUR,Scrabble (E),拼字游戏 Scrabble(EU)(M4)(Ubi Soft)
